OBJECTID,STATE_CNTY_FIPS,STATE_FIPS,CNTY_FIPS,STATE_NAME,CNTY_NAME,SAMPLEDLANDWATER_ACRES,SAMPLEDLANDWATER_ERR,FORESLAND_ACRES,FORESLAND_ERR,TIMBERLAND_ACRES,TIMBERLAND_ERR,NETMERCHBOLELIVETREES_CBFT,NETMERCHBOLELIVETREES_ERR,AVGGROWTHMERCHBOLE_CBFT,AVGGROWTHMERCHBOLE_ERR,AVGMORTMERCHBOLE_CBFT,AVGMORTMERCHBOLE_ERR,AVGREMOVALMERCHBOLE_CBFT,AVGREMOVALMERCHBOLE_ERR,ABOVEGRDBIOMASSTREES_SHRTTON,ABOVEGRDBIOMASSTREES_ERR,ABOVEGRDCARBONTREES_SHRTTON,ABOVEGRDCARBONTREES_ERR,TOTALCARBON_SHRTTON,TOTALCARBON_ERR,NETMERCHBOLEGROWSTOCK_CBFT,NETMERCHBOLEGROWSTOCK_ERR,NETSAWLOGVOLSAWTMBR_BRDFT,NETSAWLOGVOLSAWTMBR_ERR,CRC_VALUE,SHAPEAREA,SHAPELEN
1,02020,02,020,Alaska,Anchorage Borough,860401.985375,7.8,142176.680936,19.7,71771.7583703,29.1,252509018.66,28.4,-1,-1,-1,-1,-1,-1,5071015.00739,26.3,2535507.50369,26.3,9776507.59776,21.7,150232530.869,39.6,603182329.744,43.7,,0.748104541657886,5.06391612218144
2,02100,02,100,Alaska,Haines Borough,1657070.98327,5.6,389581.15445,12,271335.347797,14.7,2067520744.57,14.8,-1,-1,-1,-1,-1,-1,36076259.4726,14.4,18038129.7363,14.4,52068685.1192,12.9,1738512780.49,16.9,9304341123.81,17.4,,0.961085565371513,12.2582416305911
3,02110,02,110,Alaska,Juneau Borough,2075400.93722,4.5,529686.050026,9.9,233469.239957,15.2,2629128045.5,12.3,-1,-1,-1,-1,-1,-1,46986332.04,12.2,23493166.02,12.2,69656126.4068,10.7,1712280727.55,16.7,9400614549.11,17.3,,1.09990010927126,12.3585020125684
4,02122,02,122,Alaska,Kenai Peninsula Borough,6751177.63201,1.9,2120064.42672,3.4,761885.888716,7.7,2240253250.14,8.5,-1,-1,-1,-1,-1,-1,45236313.1084,7.1,22618156.5542,7.1,130060863.512,4.4,1159967348.79,13.8,5082629816.14,16.2,,6.869464801794,52.4231447447245
5,02130,02,130,Alaska,Ketchikan Gateway Borough,882812.393369,8.2,526941.937886,10.5,263938.138145,15,2672356534.88,13.3,-1,-1,-1,-1,-1,-1,46770286.6107,13.2,23385143.3054,13.2,72606942.9127,11.3,1740760518.49,17.9,9520737298.89,18.8,,0.458670131731013,11.8708400381543
6,02150,02,150,Alaska,Kodiak Island Borough,5403412.83128,2,513567.046786,6.5,348191.124581,8.5,1930511661.52,10.8,-1,-1,-1,-1,-1,-1,29768839.8073,10.4,14884419.9036,10.4,57937977.7731,7.3,1418165018.79,14,7095671985.62,15.7,,2.5829628990801,66.8252361923678
7,02201,02,201,Alaska,Prince of Wales-Outer Ketchikan Census Area,5345970.75882,2.7,2463068.54337,3.6,1310402.854,5.9,9912487862,5.6,-1,-1,-1,-1,-1,-1,173311185.393,5.4,86655592.6967,5.4,300684233.994,4.1,6887406336.6,7.8,35784476291,8.5,,2.74284789318148,79.0403744786552
8,02220,02,220,Alaska,Sitka Borough,2460656.80054,4.7,921840.624425,7.5,429319.458772,11.7,4066314848.1,10.1,-1,-1,-1,-1,-1,-1,73346251.5613,9.9,36673125.7806,9.9,113559407.274,8.4,2690091802.08,13.5,14637758530.3,14,,1.12441935028183,33.7254427710899
9,02232,02,232,Alaska,Skagway-Hoonah-Angoon Census Area,2936128.70156,4.3,858557.468809,7.9,466140.294821,10.9,3651381252.96,10.4,-1,-1,-1,-1,-1,-1,65151970.287,10.2,32575985.1435,10.2,106133650.878,8.6,2576051897.8,13.5,14010017228.9,14,,3.15549879416393,63.7969780818546
10,02261,02,261,Alaska,"Valdez-Cordova Census Area 	",10506519.2503,1.6,1108063.60785,6.1,570909.886072,9,3541437328.24,9.2,-1,-1,-1,-1,-1,-1,61197339.099,9,30598669.5495,9,114175332.012,6.8,2586600901.3,11.9,12959744052.8,12.7,,15.2666920919191,85.7556147628477
